Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback Comments,Sentiment
340,5,2,7,6,9,2,1,8,Assignments were too difficult.,Negative
253,6,5,8,6,2,1,2,9,Concepts were explained in detail.,Neutral
680,7,7,6,5,4,2,3,1,"Overall, the course was relevant and useful.",Positive
806,9,6,7,1,5,9,4,6,Sometimes explanations were confusing.,Negative
632,8,10,8,4,6,6,9,9,Assignments were too difficult.,Negative
832,7,2,7,8,3,5,1,4,Very satisfied with the teaching.,Positive
772,9,3,5,2,10,3,8,1,The presentations were very clear.,Positive
961,9,8,7,4,4,3,3,10,Assignments were too difficult.,Negative
814,6,5,8,6,4,4,7,9,"Overall, the course was relevant and useful.",Positive
863,5,9,4,7,9,4,4,5,Sometimes explanations were confusing.,Negative
576,10,3,8,6,6,3,6,9,Concepts were explained in detail.,Neutral
702,8,4,7,1,2,1,8,8,"Overall, the course was relevant and useful.",Positive
541,5,4,4,2,2,7,8,1,"Overall, the course was relevant and useful.",Positive
552,5,6,7,2,7,4,4,2,The presentations were very clear.,Positive
510,6,7,8,3,4,7,7,6,Support was excellent and motivating.,Positive
159,7,7,6,6,3,9,3,1,Sometimes explanations were confusing.,Negative
223,9,10,4,5,7,10,10,6,"Too many assignments, need balance.",Positive
807,8,3,4,2,2,4,6,1,"Overall, the course was relevant and useful.",Positive
525,9,9,4,3,5,5,9,2,Support was excellent and motivating.,Positive
799,5,6,5,4,2,1,1,7,"Too many assignments, need balance.",Positive
24,9,10,6,10,2,10,1,9,Sometimes explanations were confusing.,Negative
509,8,2,7,5,2,3,4,4,Great teaching style and very helpful!,Positive
797,9,10,4,10,9,2,10,7,Very satisfied with the teaching.,Positive
418,8,8,6,7,9,5,2,8,Support was excellent and motivating.,Positive
48,5,5,4,2,1,10,10,9,Could use more real-world examples.,Positive
657,9,5,7,3,2,8,10,6,Great teaching style and very helpful!,Positive
864,9,8,5,2,3,9,2,8,Very satisfied with the teaching.,Positive
861,5,6,4,5,4,4,6,6,The presentations were very clear.,Positive
118,9,10,7,7,4,6,9,1,Assignments were too difficult.,Negative
387,7,3,8,1,6,8,6,8,Concepts were explained in detail.,Neutral
282,5,6,7,3,8,1,1,9,Could use more real-world examples.,Positive
503,8,6,6,3,3,6,4,10,The presentations were very clear.,Positive
934,5,6,4,6,10,3,4,10,Sometimes explanations were confusing.,Negative
781,8,3,4,5,1,8,10,5,The presentations were very clear.,Positive
898,10,10,4,3,5,4,2,1,Assignments were too difficult.,Negative
474,8,3,7,6,4,3,7,7,Sometimes explanations were confusing.,Negative
704,9,9,8,6,8,4,8,5,Could use more real-world examples.,Positive
977,9,5,4,4,6,3,1,9,Assignments were too difficult.,Negative
454,9,6,6,1,10,8,10,7,"Too many assignments, need balance.",Positive
295,5,7,6,3,1,7,2,9,Concepts were explained in detail.,Neutral
35,10,6,4,5,6,2,3,1,Could use more real-world examples.,Positive
304,9,9,4,6,5,1,7,2,"Too many assignments, need balance.",Positive
56,6,9,6,8,9,6,2,4,Very satisfied with the teaching.,Positive
922,8,10,7,4,5,9,3,5,Could use more real-world examples.,Positive
569,10,7,6,9,2,6,2,5,Very satisfied with the teaching.,Positive
186,6,4,4,4,6,9,10,10,Sometimes explanations were confusing.,Negative
258,7,2,7,2,7,2,6,10,"Too many assignments, need balance.",Positive
